gi	species	kingdom	phylum	class	order	family	genus	
KF148461.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148248.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148463.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669291.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148501.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF055874.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570341.1	Tursiops aduncus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148275.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148139.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669257.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148376.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148189.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669371.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148506.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148562.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148316.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669411.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148256.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669414.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX416157.1	Pethia ticto	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Pethia
KF148525.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX187441.1	Dendropsophus nanus A	Metazoa	Chordata	Amphibia	Anura	Hylidae	Dendropsophus
KF562398.1	Chilodus punctatus	Metazoa	Chordata	Actinopteri	Characiformes	Chilodontidae	Chilodus
KC684533.1	Pipistrellus nathusii	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus
KF148592.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148086.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669378.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669296.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669401.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148180.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148493.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148264.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148101.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148331.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669218.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148122.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148456.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669219.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570371.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF570338.1	Tursiops aduncus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148438.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669409.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148097.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF564793.1	Aspiorhynchus laticeps	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Aspiorhynchus
KF148305.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148373.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148152.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148210.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148271.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570387.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
JX669389.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669373.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669184.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669388.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF055875.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KC733263.2	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148074.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570322.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KC684537.1	Pipistrellus kuhlii	Metazoa	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus
KF562400.1	Chilodus punctatus	Metazoa	Chordata	Actinopteri	Characiformes	Chilodontidae	Chilodus
KF148451.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669407.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669286.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148315.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148586.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669242.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148537.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148350.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669279.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148341.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148217.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570363.1	Tursiops australis	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148140.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570383.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148299.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF148194.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF570389.1	Tursiops truncatus	Metazoa	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops
KF148296.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
JX669247.1	Homo sapiens	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo
KF600713.1	Schizothorax esocinus	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Schizothorax
