taxid	species	kingdom	phylum	class	order	family	genus	
1150860	Duck flavivirus TA	NA	NA	NA	NA	Flaviviridae	Flavivirus
1534468	Torres virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
64306	Batu Cave virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
431665	Chimeric dengue virus type 1 vector p4(delta)30-D1-ME	NA	NA	NA	NA	NA	NA
7739	Branchiostoma floridae	Metazoa	Chordata	NA	NA	Branchiostomidae	Branchiostoma
1963247	Menghai flavivirus	NA	NA	NA	NA	Flaviviridae	NA
11079	Murray Valley encephalitis virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
9601	Pongo abelii	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pongo
284999	Dengue virus type 3 vector p3	NA	NA	NA	NA	NA	NA
1086585	Flavivirus CJD05/CHN/2010	NA	NA	NA	NA	Flaviviridae	Flavivirus
1429999	Cloning vector pTBEV-32.11 ic	NA	NA	NA	NA	NA	NA
1120765	Flavivirus muscovy/SD/China/2011	NA	NA	NA	NA	Flaviviridae	Flavivirus
11077	Kunjin virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
649187	Lammi virus	NA	NA	NA	NA	Flaviviridae	NA
44024	Kokobera virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
64286	Usutu virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
1879016	Zika virus vector pZIKV-ICD	NA	NA	NA	NA	NA	NA
64319	Yaounde virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
99158	Hammondia hammondi	NA	Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Hammondia
577122	T'Ho virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
1969399	Haslams Creek virus	NA	NA	NA	NA	Flaviviridae	NA
34305	Lotus japonicus	Viridiplantae	Streptophyta	NA	Fabales	Fabaceae	Lotus
598675	West Nile virus strain PT6.39	NA	NA	NA	NA	Flaviviridae	Flavivirus
11053	Dengue virus 1	NA	NA	NA	NA	Flaviviridae	Flavivirus
172148	Alkhumra hemorrhagic fever virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
1691889	Spanish goat encephalitis virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
9244	Calypte anna	Metazoa	Chordata	Aves	Apodiformes	Trochilidae	Calypte
406269	West Nile virus strain PTRoxo	NA	NA	NA	NA	Flaviviridae	Flavivirus
1070859	Duck hemorrhagic ovaritis virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
218849	Kamiti River virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
1002900	Baiyangdian virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
390845	Aedes flavivirus	NA	NA	NA	NA	Flaviviridae	Flavivirus
631267	Chaoyang virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
164416	Wesselsbron virus	NA	NA	NA	NA	Flaviviridae	Flavivirus
598672	West Nile virus strain PT6.16	NA	NA	NA	NA	Flaviviridae	Flavivirus
227155	Chimeric Dengue virus vector p4-D2-ME	NA	NA	NA	NA	NA	NA
449279	West Nile virus SA381/00	NA	NA	NA	NA	Flaviviridae	Flavivirus
